,source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
68,Twitter for iPhone,Even James Clapper has admonished John Brennan for having gone totally off the rails. Maybe Clapper is being nice to me so he doesn’t lose his Security Clearance for lying to Congress!,Tue Aug 21 10:55:03 +0000 2018,18149,77660,FALSE,1.03186E+18
69,Twitter for iPhone,A Blue Wave means Crime and Open Borders. A Red Wave means Safety and Strength!,Tue Aug 21 10:38:19 +0000 2018,28621,101293,FALSE,1.03185E+18
70,Twitter for iPhone,"I am hearing so many great things about the Republican Party’s California Gubernatorial Candidate, John Cox. He is a very successful businessman who is tired of high Taxes &; Crime. He will Make California Great Again &;  make you proud of your Great State again. Total Endorsement!",Tue Aug 21 03:53:49 +0000 2018,21197,84261,FALSE,1.03175E+18
71,Twitter for iPhone,"Will be going to the Great State of West Virginia on Tuesday Night to campaign &; do a Rally Speech for a hard working and spectacular person, A.G. Patrick Morrisey, who is running for the U.S. Senate. Patrick has great Energy &; Stamina-I need his VOTE to MAGA. Total Endorsement!",Tue Aug 21 03:40:49 +0000 2018,15125,63284,FALSE,1.03175E+18
72,Twitter for iPhone,Just watched former Intelligence Official Phillip Mudd become totally unglued and weird while debating wonderful @PARISDENNARD over Brennan’s Security Clearance. Dennard destroyed him but Mudd is in no mental condition to have such a Clearance. Should be REVOKED? @seanhannity,Tue Aug 21 02:06:08 +0000 2018,21649,82024,FALSE,1.03172E+18
73,Twitter for iPhone,".@DianeHarkey is an extraordinary woman of great accomplishment &; potential. She is running as a very popular Republican for the Congressional seat of my friend Darrell Issa-with his complete support. Diane is strong on crime, loves our Military &; Vets-has my total Endorsement!",Tue Aug 21 01:46:12 +0000 2018,13674,54654,FALSE,1.03172E+18
74,Twitter for iPhone,https://t.co/PeF12D2IqJ,Mon Aug 20 23:49:27 +0000 2018,15477,59284,FALSE,1.03169E+18
75,Twitter for iPhone,"It is outrageous that Poisonous Synthetic Heroin Fentanyl comes pouring into the U.S. Postal System from China. We can, and must, END THIS NOW! The Senate should pass the STOP ACT – and firmly STOP this poison from killing our children and destroying our country. No more delay!",Mon Aug 20 17:14:59 +0000 2018,28433,103787,FALSE,1.03159E+18
76,Twitter for iPhone,"“Bruce Ohr is at the center of FALSE ALLEGATIONS which led to a multi-million dollar investigation into what apparently didn’t happen.” Darrell Issa, House Oversight. We can take out the word “apparently.”  @FoxNews",Mon Aug 20 14:46:15 +0000 2018,17725,66960,FALSE,1.03155E+18
77,Twitter for iPhone,"Will Bruce Ohr, whose family received big money for helping to create the phony, dirty and discredited Dossier, ever be fired from the Jeff Sessions  “Justice” Department? A total joke!",Mon Aug 20 14:36:23 +0000 2018,21206,80238,FALSE,1.03155E+18
